id,length,width
0,209,193
1,209,193
2,209,193
3,209,193
4,209,193
5,209,193
6,209,193
7,209,193
8,209,193
9,209,193
10,209,193
11,209,193
12,209,193
13,209,193
14,209,193
15,209,193
16,209,193
17,209,193
18,209,193
19,209,193
20,209,193
21,209,193
22,209,193
23,209,193
24,209,193
25,209,193
26,209,193
27,209,193
28,209,193
29,209,193
30,209,193
31,209,193
32,209,193
33,209,193
34,209,193
35,209,193
36,209,193
37,209,193
38,209,193
39,209,193
40,209,193
41,209,193
42,209,193
43,209,193
44,209,193
45,209,193
46,209,193
47,209,193
48,209,193
49,209,193
50,209,193
51,209,193
52,166,208
53,166,208
54,166,208
55,166,208
56,166,208
57,166,208
58,166,208
59,166,208
60,166,208
61,166,208
62,166,208
63,166,208
64,166,208
65,166,208
66,166,208
67,166,208
68,166,208
69,166,208
70,166,208
71,166,208
72,166,208
73,166,208
74,166,208
75,166,208
76,166,208
77,166,208
78,166,208
79,166,208
80,166,208
81,166,208
82,166,208
83,166,208
84,166,208
85,166,208
86,166,208
87,166,208
88,166,208
89,166,208
90,166,208
91,166,208
92,166,208
93,166,208
94,166,208
95,166,208
96,166,208
97,166,208
98,166,208
99,166,208
100,166,208
101,166,208
102,204,205
103,204,205
104,204,205
105,204,205
106,204,205
107,204,205
108,204,205
109,204,205
110,204,205
111,204,205
112,204,205
113,204,205
114,204,205
115,204,205
116,204,205
117,204,205
118,204,205
119,204,205
120,204,205
121,204,205
122,204,205
123,204,205
124,204,205
125,204,205
126,204,205
127,204,205
128,204,205
129,204,205
130,204,205
131,204,205
132,204,205
133,204,205
134,204,205
135,204,205
136,204,205
137,204,205
138,204,205
139,204,205
140,204,205
141,204,205
142,204,205
143,204,205
144,204,205
145,204,205
146,204,205
147,204,205
148,204,205
149,204,205
150,204,205
151,204,205
152,204,205
153,204,205
154,204,205
155,204,205
156,204,205
157,195,216
158,195,216
159,195,216
160,195,216
161,195,216
162,195,216
163,195,216
164,195,216
165,195,216
166,195,216
167,195,216
168,195,216
169,195,216
170,195,216
171,195,216
172,195,216
173,195,216
174,195,216
175,195,216
176,195,216
177,195,216
178,195,216
179,195,216
180,195,216
181,195,216
182,195,216
183,195,216
184,195,216
185,195,216
186,195,216
187,195,216
188,195,216
189,195,216
190,195,216
191,195,216
192,195,216
193,195,216
194,195,216
195,195,216
196,195,216
197,195,216
198,195,216
199,195,216
200,195,216
201,195,216
202,195,216
203,195,216
204,195,216
205,195,216
206,195,216
207,195,216
208,195,216
209,219,226
210,219,226
211,219,226
212,219,226
213,219,226
214,219,226
215,219,226
216,219,226
217,219,226
218,219,226
219,219,226
220,219,226
221,219,226
222,219,226
223,219,226
224,219,226
225,219,226
226,219,226
227,219,226
228,219,226
229,219,226
230,219,226
231,219,226
232,219,226
233,219,226
234,219,226
235,219,226
236,219,226
237,219,226
238,219,226
239,219,226
240,219,226
241,219,226
242,219,226
243,219,226
244,219,226
245,219,226
246,219,226
247,219,226
248,219,226
249,219,226
250,219,226
251,219,226
252,219,226
253,219,226
254,219,226
255,219,226
256,219,226
257,219,226
258,219,226
259,219,226
260,185,211
261,185,211
262,185,211
263,185,211
264,185,211
265,185,211
266,185,211
267,185,211
268,185,211
269,185,211
270,185,211
271,185,211
272,185,211
273,185,211
274,185,211
275,185,211
276,185,211
277,185,211
278,185,211
279,185,211
280,185,211
281,185,211
282,185,211
283,185,211
284,185,211
285,185,211
286,185,211
287,185,211
288,185,211
289,185,211
290,185,211
291,185,211
292,185,211
293,185,211
294,185,211
295,185,211
296,185,211
297,185,211
298,185,211
299,185,211
300,185,211
301,185,211
302,185,211
303,185,211
304,185,211
305,185,211
306,185,211
307,185,211
308,185,211
309,185,211
310,185,211
311,185,211
312,183,212
313,183,212
314,183,212
315,183,212
316,183,212
317,183,212
318,183,212
319,183,212
320,183,212
321,183,212
322,183,212
323,183,212
324,183,212
325,183,212
326,183,212
327,183,212
328,183,212
329,183,212
330,183,212
331,183,212
332,183,212
333,183,212
334,183,212
335,183,212
336,183,212
337,183,212
338,183,212
339,183,212
340,183,212
341,183,212
342,183,212
343,183,212
344,183,212
345,183,212
346,183,212
347,183,212
348,183,212
349,183,212
350,183,212
351,183,212
352,183,212
353,183,212
354,183,212
355,183,212
356,183,212
357,183,212
358,183,212
359,183,212
360,183,212
361,183,212
362,183,212
363,183,212
364,183,212
365,183,212
