problem_no,seed,dimensions,item_dims,n_large_obj,n_items,best_result,best_fitness,avg_result,avg_fitness,avg_time,avg_trials,avg_demand_fulfilled
1,400414541,"(169, 221)","(18, 90)","(7, 11)","(9, 18)",6,846927.0673184593,6,846927.0673184593,22.79710144996643,60,1.0
2,1652690748,"(171, 293)","(27, 88)","(9, 15)","(6, 15)",3,1514208.1862911964,3,1514208.1862911964,30.90244174003601,60,1.0
3,2070398650,"(267, 166)","(33, 57)","(6, 13)","(5, 11)",3,1514208.1862911964,3,1514208.1862911964,30.873865675926208,60,1.0
4,1257365506,"(177, 143)","(19, 100)","(7, 12)","(10, 20)",3,1514208.1862911964,3,1514208.1862911964,30.887474417686462,60,1.0
5,177884468,"(253, 285)","(24, 63)","(10, 15)","(6, 11)",2,676252.1285837411,2,676252.1285837411,60.708673763275144,60,1.0
6,582034459,"(209, 210)","(42, 82)","(6, 14)","(10, 14)",2,676252.1285837411,2,676252.1285837411,60.727833366394044,60,1.0
7,1781218206,"(180, 117)","(20, 95)","(10, 14)","(10, 17)",2,676252.1285837411,2,676252.1285837411,60.786588597297666,60,1.0
8,1222458241,"(197, 106)","(22, 66)","(8, 15)","(9, 13)",2,676252.1285837411,2,676252.1285837411,60.81095721721649,60,1.0
9,1898937489,"(134, 165)","(34, 79)","(9, 13)","(6, 20)",5,1310041.2589991668,5,1310041.2589991668,3.6752887964248657,60,1.0
10,1171727925,"(111, 239)","(33, 80)","(7, 10)","(7, 17)",5,1317095.0860471437,5,1317095.0860471437,15.920947170257568,60,1.0
